time_start_time-trial,time_end_time-trial,rotation,chart-type,workerID,log-error,totalSequence,judged-true,ans-percentage-diff,opposite-ans,ans-trial,correct-ans,time_diff_time-trial,arcPrediction,areaPrediction
1452625167327,1452625172846,198.35954728536308,square,YC98FD83,0.16992500144231237,30,-1,-0.0196078431372549,49,50,51,5.519,50.89166787787464,50.891667877874646
1452625154813,1452625160629,311.0884429793805,pie,YC98FD83,0.16992500144231237,28,-1,-0.16666666666666666,94,5,6,5.816,6.0,6.0
1452625245786,1452625250378,273.72792687267065,ellipse,YC98FD83,0.16992500144231237,45,-1,-0.013157894736842105,24,75,76,4.592,76.96180737689674,78.48825940100916
1452625160630,1452625167325,122.60418721474707,square,YC98FD83,1.6438561897747246,29,-3,-0.07894736842105263,62,35,38,6.695,39.66626337858804,39.66626337858803
1452625197100,1452625203323,74.20328171923757,square,YC98FD83,2.0443941193584534,36,-4,-0.0449438202247191,11,85,89,6.223,87.16059931304511,87.16059931304513
1452625190323,1452625197099,194.30225553922355,square,YC98FD83,1.0874628412503393,35,-2,-0.0625,68,30,32,6.776,32.11829721053464,32.118297210534635
1452625176736,1452625180801,212.07268813624978,exploded,YC98FD83,0.16992500144231237,32,1,0.3333333333333333,97,4,3,4.065,3.3870967741935485,3.8241415192507806
1452625135699,1452625138603,164.51042952015996,outerRadius,YC98FD83,-3,24,0,0,95,5,5,2.904,5.645161290322581,6.373569198751301
1452625138606,1452625141546,101.99482245370746,outerRadius,YC98FD83,1.0874628412503393,25,-2,-0.021739130434782608,8,90,92,2.94,103.87096774193549,117.27367325702393
1452625141547,1452625148954,73.39430920779705,outerRadius,YC98FD83,1.0874628412503393,26,-2,-0.04081632653061224,51,47,49,7.407,55.32258064516129,62.460978147762745
1452625148956,1452625154812,324.85797182656825,ellipse,YC98FD83,1.6438561897747246,27,3,0.036585365853658534,18,85,82,5.856,85.26850147148838,88.77898545900507
1452625114456,1452625118334,33.400507997721434,outerRadius,YC98FD83,-3,20,0,0,45,55,55,3.878,62.096774193548384,70.1092611862643
1452625118335,1452625126697,350.40064743719995,pie,YC98FD83,1.6438561897747246,21,3,0.04838709677419355,38,65,62,8.362,62.0,62.0
1452625126698,1452625131449,44.21022397466004,pie,YC98FD83,1.0874628412503393,22,2,0.022727272727272728,12,90,88,4.751,88.0,88.0
1452625131450,1452625135697,144.3921246752143,pie,YC98FD83,2.0443941193584534,23,4,0.07142857142857142,44,60,56,4.247,56.0,56.0
1452625250379,1452625253810,18.951969891786575,outerRadius,YC98FD83,2.0443941193584534,46,4,0.25,84,20,16,3.431,18.06451612903226,20.395421436004163
1452625253812,1452625262699,129.34178235009313,ellipse,YC98FD83,2.0443941193584534,47,4,0.06557377049180328,39,65,61,8.887,62.63023602567084,62.879019517871505
1452625239321,1452625245785,31.44001990556717,ellipse,YC98FD83,-3,44,0,0,53,47,47,6.464,46.40454576105239,46.186184585574416
1452625262700,1452625267628,223.17208134569228,exploded,YC98FD83,0.16992500144231237,48,-1,-0.03225806451612903,69,30,31,4.928,35.0,39.516129032258064
1452625229703,1452625234288,304.4483857881278,pie,YC98FD83,1.6438561897747246,42,3,0.043478260869565216,31,72,69,4.585,69.0,69.0
1452625234289,1452625239320,355.48605931922793,exploded,YC98FD83,0.16992500144231237,43,1,0.07142857142857142,86,15,14,5.031,15.806451612903226,17.845993756503642
1452625217871,1452625225253,225.42013769969344,pie,YC98FD83,1.0874628412503393,40,2,0.02564102564102564,22,80,78,7.382,78.0,78.0
1452625225254,1452625229702,307.82202310860157,pie,YC98FD83,1.6438561897747246,41,3,0.04477611940298507,33,70,67,4.448,67.0,67.0
1452625008594,1452625013537,349.281165311113,outerRadius,YC98FD83,0.16992500144231237,1,-1,-0.013157894736842105,24,75,76,4.943,85.80645161290323,96.87825182101977
1452625002513,1452625008593,250.66359747201204,square,YC98FD83,3.0223678130284544,0,8,0.15384615384615385,48,60,52,6.08,51.69827974879975,51.69827974879977
1452625018841,1452625023729,143.01560788415372,square,YC98FD83,-3,3,0,0,85,15,15,4.888,13.239445258883793,13.239445258883793
1452625013538,1452625018840,59.466943591833115,square,YC98FD83,0.16992500144231237,2,-1,-0.024390243902439025,59,40,41,5.302,38.7602556627246,38.7602556627246
1452625027899,1452625034283,90.18850950524211,exploded,YC98FD83,2.0443941193584534,5,4,0.0975609756097561,59,45,41,6.384,46.29032258064516,52.26326742976067
1452625023730,1452625027898,248.2743376493454,outerRadius,YC98FD83,1.6438561897747246,4,3,0.034482758620689655,13,90,87,4.168,98.2258064516129,110.90010405827263
1452625040076,1452625046092,162.29937197640538,pie,YC98FD83,1.6438561897747246,7,3,0.036585365853658534,18,85,82,6.016,82.0,82.0
1452625034284,1452625040075,15.725363558158278,exploded,YC98FD83,1.6438561897747246,6,-3,-0.0410958904109589,27,70,73,5.791,82.41935483870968,93.05411030176899
1452625052256,1452625056423,352.69528253003955,pie,YC98FD83,1.6438561897747246,9,-3,-0.2727272727272727,89,8,11,4.167,11.0,11.0
1452625172847,1452625176735,191.2502523791045,exploded,YC98FD83,1.6438561897747246,31,-3,-0.23076923076923078,87,10,13,3.888,14.67741935483871,16.571279916753383
1452625267629,1452625271316,84.6773671824485,ellipse,YC98FD83,2.0443941193584534,49,4,0.046511627906976744,14,90,86,3.687,87.77791131891891,90.66763562631637
1452625210261,1452625217870,256.8011158145964,square,YC98FD83,1.6438561897747246,39,-3,-0.06976744186046512,57,40,43,7.609,43.024610140900975,43.02461014090099
1452625184874,1452625190321,103.7189672794193,exploded,YC98FD83,0.16992500144231237,34,1,0.05263157894736842,81,20,19,5.447,21.451612903225808,24.219562955254943
1452625206212,1452625210260,300.75200135819614,outerRadius,YC98FD83,0.16992500144231237,38,-1,-0.0625,84,15,16,4.048,18.06451612903226,20.395421436004163
1452625046094,1452625052255,112.77424019761384,outerRadius,YC98FD83,2.357552004618084,8,-5,-0.07142857142857142,30,65,70,6.161,79.03225806451613,89.22996878251821
1452625089747,1452625093637,55.752247804775834,exploded,YC98FD83,1.0874628412503393,15,-2,-0.03225806451612903,38,60,62,3.89,70.0,79.03225806451613
1452625086451,1452625089746,249.40894961357117,ellipse,YC98FD83,2.6147098441152083,14,-6,-0.07407407407407407,19,75,81,3.295,79.29470508397104,78.51561617256905
1452625063576,1452625069736,171.7942851036787,ellipse,YC98FD83,2.6147098441152083,11,-6,-0.16666666666666666,64,30,36,6.16,34.325637407302345,34.182404462089565
1452625056423,1452625063575,65.49585560336709,square,YC98FD83,2.357552004618084,10,5,0.07692307692307693,35,70,65,7.152,62.768636366738576,62.76863636673858
1452625076642,1452625086450,84.57714996300638,outerRadius,YC98FD83,0.16992500144231237,13,1,0.045454545454545456,78,23,22,9.808,24.838709677419356,28.043704474505724
1452625069737,1452625076641,9.646453997120261,pie,YC98FD83,0.16992500144231237,12,1,0.05263157894736842,81,20,19,6.904,19.0,19.0
1452625318781,,186.33451125584543,ellipse,YC98FD83,1.6438561897747246,59,-3,-0.038461538461538464,22,75,78,,75.93861771265684,73.95703068016633
1452625314556,1452625318780,316.242707837373,exploded,YC98FD83,1.0874628412503393,58,-2,-0.05405405405405406,63,35,37,4.224,41.774193548387096,47.164412070759624
1452625099717,1452625104556,43.5392449144274,exploded,YC98FD83,-3,17,0,0,60,40,40,4.839,45.16129032258065,50.988553590010405
1452625093637,1452625099716,123.31870405934751,exploded,YC98FD83,-3,16,0,0,15,85,85,6.079,95.96774193548387,108.3506763787721
1452625108215,1452625114454,351.0135664790869,exploded,YC98FD83,-3,19,0,0,20,80,80,6.239,90.3225806451613,101.97710718002081
1452625291689,1452625296216,93.24507518671453,pie,YC98FD83,2.0443941193584534,54,4,0.1111111111111111,64,40,36,4.527,36.0,36.0
1452625308493,1452625314555,119.59805904887617,ellipse,YC98FD83,0.16992500144231237,57,-1,-0.010416666666666666,4,95,96,6.062,96.88414123167146,97.74434031300287
1452625301035,1452625308490,70.1721887011081,square,YC98FD83,3.0223678130284544,56,-8,-0.21052631578947367,62,30,38,7.455,35.868559345669134,35.86855934566914
1452625279670,1452625283247,259.86615166068077,pie,YC98FD83,0.16992500144231237,51,-1,-0.015151515151515152,34,65,66,3.577,66.0,66.0
1452625271318,1452625279669,29.946502558887005,ellipse,YC98FD83,1.6438561897747246,50,3,0.08108108108108109,63,40,37,8.351,33.56306143315282,27.706667306028816
1452625287128,1452625291687,241.67878987267613,square,YC98FD83,1.0874628412503393,53,-2,-0.03508771929824561,43,55,57,4.559,56.05490983470616,56.054909834706166
1452625283248,1452625287126,336.2102174665779,ellipse,YC98FD83,2.357552004618084,52,-5,-0.2,75,20,25,3.878,28.769468549063482,33.04766475842719
