subjectID,time_start_time_trial,time_end_time_trial,totalSequence,opposite_ans,rotation,correct_ans,thirds,time_diff_time_trial,log_error,inner_radius,judged_true,ans_percentage_diff,ans_trial,age,browser,browserVersion,comments,degree,monitor,participantCount,postId,screenHeight,screenWidth,sex,windowHeight,windowWidth
2,1441777139419,1441777161501,25,84,55.05714973,16,small,22082,0.1699250014,30,-1,-0.0625,15,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777161501,1441777168551,26,49,159.3616557,51,medium,7050,0.1699250014,30,-1,-0.01960784314,50,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777168551,1441777195305,27,39,56.25841677,61,medium,26754,0.7004397181,150,1.5,0.02459016393,62.5,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777066080,1441777074368,20,53,98.95897449,47,medium,8288,-0.6780719051,60,0.5,0.01063829787,47.5,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777074368,1441777085232,21,24,5.065088449,76,large,10864,0.1699250014,0,-1,-0.01315789474,75,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777586503,1441777594448,48,30,182.8365479,70,large,7945,-3,90,0,0,70,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777594448,1441777605673,49,45,19.04368669,55,medium,11225,-3,150,0,0,55,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777572626,1441777577817,46,75,16.02307862,25,small,5191,-3,0,0,0,25,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777095699,1441777121118,23,51,277.6304805,49,medium,25419,-3,90,0,0,49,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777544718,1441777563920,44,62,6.200500214,38,medium,19202,1.64385619,90,-3,-0.07894736842,35,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777563920,1441777572626,45,43,130.9640634,57,medium,8706,1.087462841,0,-2,-0.0350877193,55,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777195305,1441777224555,28,84,210.3848535,16,small,29250,1.857980995,90,-3.5,-0.21875,12.5,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777224555,1441777241808,29,20,255.3831574,80,large,17253,4.651051691,120,-25,-0.3125,55,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777488383,1441777502950,40,87,256.335791,13,small,14567,-0.6780719051,120,-0.5,-0.03846153846,12.5,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777502950,1441777527201,41,60,47.89734146,40,medium,24251,-3,30,0,0,40,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776625479,1441776674829,1,31,169.5848727,69,large,49350,0.1699250014,120,1,0.01449275362,70,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776608378,1441776625476,0,18,177.2577949,82,large,17098,5.957102042,0,-62,-0.756097561,20,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776684834,1441776708500,3,4,245.5662931,96,large,23666,0.1699250014,90,-1,-0.01041666667,95,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776674829,1441776684834,2,38,86.5692437,62,medium,10005,1.087462841,120,-2,-0.03225806452,60,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776724468,1441776735770,5,18,84.33258019,82,large,11302,1.087462841,0,-2,-0.0243902439,80,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776708500,1441776724468,4,63,207.0797379,37,medium,15968,1.64385619,30,3,0.08108108108,40,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776755943,1441776788987,7,12,180.9300415,88,large,33044,-0.6780719051,90,-0.5,-0.005681818182,87.5,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776735770,1441776755943,6,34,265.8859681,66,medium,20173,2.044394119,150,4,0.06060606061,70,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776808457,1441776856986,9,59,68.91239662,41,medium,48529,0.1699250014,0,-1,-0.0243902439,40,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777292289,1441777308426,31,13,263.4237015,87,large,16137,-0.6780719051,150,0.5,0.005747126437,87.5,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777536202,1441777544718,43,64,43.14548121,36,medium,8516,0.1699250014,30,-1,-0.02777777778,35,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777435001,1441777488380,39,11,159.0917338,89,large,53379,0.1699250014,150,1,0.01123595506,90,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777341942,1441777352941,34,20,64.43089164,80,large,10999,4.651051691,0,-25,-0.3125,55,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777577817,1441777586503,47,78,121.7688342,22,small,8686,1.087462841,60,-2,-0.09090909091,20,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777424832,1441777435001,38,96,102.758005,4,small,10169,0.1699250014,30,1,0.25,5,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776788987,1441776808441,8,63,251.2032496,37,medium,19454,-0.6780719051,60,0.5,0.01351351351,37.5,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776943828,1441777014177,15,15,344.7821976,85,large,70349,-3,120,0,0,85,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776935226,1441776943828,14,48,272.7270337,52,medium,8602,1.087462841,150,-2,-0.03846153846,50,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776865226,1441776884308,11,59,231.5358494,41,medium,19082,1.857980995,90,-3.5,-0.08536585366,37.5,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776856986,1441776865226,10,35,187.8432965,65,medium,8240,-3,120,0,0,65,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776916323,1441776935226,13,86,0.2761820331,14,small,18903,0.1699250014,90,1,0.07142857143,15,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441776884308,1441776916323,12,19,2.313243588,81,large,32015,0.1699250014,90,-1,-0.01234567901,80,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777711491,,59,85,314.1732038,15,small,,-3,150,0,0,15,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777699206,1441777711491,58,62,143.6020092,38,medium,12285,1.087462841,120,2,0.05263157895,40,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777022676,1441777033897,17,81,77.45317457,19,small,11221,0.1699250014,60,1,0.05263157895,20,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777014177,1441777022676,16,81,310.3426455,19,small,8499,0.1699250014,150,1,0.05263157895,20,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
