subjectID,time_start_time_trial,time_end_time_trial,workerID,totalSequence,opposite_ans,rotation,correct_ans,thirds,time_diff_time_trial,chart_type,log_error,log_opposite,judged_true,ans_percentage_diff,ans_trial,thirds_given,ans_trial_opposite,Given_Pie_Chart_1,Correct_Pie_Chart_1,Given_Pie_Chart_2,Correct_Pie_Chart_2,Pie_Chart_Multiple_Choice_1,Multiple_Choice_Pie_Order_1,Given_Donut_Chart_1,Correct_Donut_Chart_1,Given_Donut_Chart_2,Correct_Donut_Chart_2,Donut_Chart_Multiple_Choice_1,Given_Arc_Length_Intro_1,Correct_Arc_Length_Intro_1,Given_Arc_Length_Intro_2,Correct_Arc_Length_Intro_2,Given_Pie_Angle_Intro_1,Correct_Pie_Angle_Intro_1,Given_Pie_Angle_Intro_2,Correct_Pie_Angle_Intro_2,Given_Donut_Angle_Intro_1,Correct_Donut_Angle_Intro_1,Given_Donut_Angle_Intro_2,Correct_Donut_Angle_Intro_2,Given_Area_Intro_1,Correct_Area_Intro_1,Given_Area_Intro_2,Correct_Area_Intro_2,Given_Pie_Chart_3,Correct_Pie_Chart_3,Given_Pie_Chart_4,Correct_Pie_Chart_4,Pie_Chart_Multiplle_Choice_2,Multiple_Choice_Pie_Order_2,Given_Donut_Chart_3,Correct_Donut_Chart_3,Given_Donut_Chart_4,Correct_Donut_Chart_4,Donut_Chart_Multiple_Choice_2,age,browser,browserVersion,degree,monitor,screenWidth,screenHeight,sex,windowHeight,windowWidth
1,1440102719199,1440102722725,76F508,39,59,63.05412339,41,medium,3526,Area Chart,0.1699250014,0.1699250014,-1,-0.0243902439,40,medium,40,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102713615,1440102719183,76F508,38,63,131.6988993,37,medium,5568,Pie Angle Chart,4.531381461,1.64385619,23,0.6216216216,60,medium,40,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102792373,1440102796132,76F508,59,96,159.5628678,4,small,3759,Pie Angle Chart,6.428360173,2.614709844,86,21.5,90,large,10,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102789222,1440102792372,76F508,58,81,263.9093352,19,small,3150,Area Chart,0.1699250014,0.1699250014,1,0.05263157895,20,small,20,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102640378,1440102644207,76F508,19,18,246.6862448,82,large,3829,Pie Chart,2.832890014,2.832890014,-7,-0.08536585366,75,large,75,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102773609,1440102777976,76F508,54,35,37.31676148,65,medium,4367,Arc-Length Chart,3.918863237,3.918863237,15,0.2307692308,80,large,80,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102786239,1440102789220,76F508,57,53,61.29148593,47,medium,2981,Donut Chart,1.64385619,1.64385619,3,0.06382978723,50,medium,50,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102781920,1440102786239,76F508,56,60,345.766882,40,medium,4319,Donut Angle Chart,4.330916878,-3,20,0.5,60,medium,40,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102763848,1440102767125,76F508,51,14,205.5733643,86,large,3277,Donut Angle Chart,6.047123912,2.614709844,-66,-0.7674418605,20,small,80,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102760518,1440102763848,76F508,50,81,160.5828651,19,small,3330,Donut Angle Chart,5.810571635,2.614709844,56,2.947368421,75,large,25,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102770214,1440102773609,76F508,53,8,159.2577841,92,large,3395,Arc-Length Chart,1.087462841,1.087462841,-2,-0.02173913043,90,large,90,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102767127,1440102770214,76F508,52,11,283.5184397,89,large,3087,Area Chart,3.189824559,3.189824559,-9,-0.1011235955,80,large,80,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102777976,1440102781916,76F508,55,39,354.4087445,61,medium,3940,Donut Chart,0.1699250014,0.1699250014,-1,-0.01639344262,60,medium,60,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
