ID	Type	Value	Estimate	Difference	PercentDifference	Confidence	ResponseTime
p02	bars	87	90	3	0.03448276	high	57533
p02	bars	8	8	0	0.0	medium	13071
p02	bars	78	79	1	0.012820513	medium	10094
p02	bars	52	52	0	0.0	medium	9774
p02	bars	44	41	3	0.06818182	medium	8886
p02	bars	37	36	1	0.027027028	medium	5660
p02	bars	95	95	0	0.0	high	5053
p02	bars	59	59	0	0.0	medium	12777
p02	bars	30	30	0	0.0	medium	5313
p02	bars	22	20	2	0.09090909	medium	11046
p02	bars	63	66	3	0.04761905	medium	6729
p02	bars	52	50	2	0.03846154	high	6154
p02	bars	22	22	0	0.0	medium	6673
p02	bars	26	25	1	0.03846154	medium	5028
p02	bars	45	44	1	0.022222223	medium	4589
p02	bars	70	70	0	0.0	medium	6111
p02	bars	33	33	0	0.0	medium	3376
p02	bars	90	92	2	0.022222223	medium	6402
p02	bars	46	50	4	0.08695652	high	2989
p02	bars	71	66	5	0.07042254	high	4253
p02	piechart	99	99	0	0.0	high	10787
p02	piechart	61	66	5	0.08196721	high	6854
p02	piechart	43	40	3	0.069767445	medium	7502
p02	piechart	74	72	2	0.027027028	high	5113
p02	piechart	99	99	0	0.0	high	10169
p02	piechart	49	48	1	0.020408163	high	3902
p02	piechart	55	55	0	0.0	high	5256
p02	piechart	22	20	2	0.09090909	high	5436
p02	piechart	19	15	4	0.21052632	medium	3755
p02	piechart	76	77	1	0.013157895	high	7156
p02	piechart	60	66	6	0.1	high	2904
p02	piechart	1	2	1	1.0	high	9123
p02	piechart	62	65	3	0.048387095	high	6845
p02	piechart	56	57	1	0.017857144	medium	5205
p02	piechart	97	95	2	0.020618556	high	4069
p02	piechart	47	45	2	0.04255319	high	3242
p02	piechart	36	33	3	0.083333336	high	3031
p02	piechart	39	40	1	0.025641026	medium	4620
p02	piechart	34	33	1	0.029411765	high	2766
p02	piechart	79	80	1	0.012658228	high	4692
p02	donut	79	80	1	0.012658228	high	5742
p02	donut	48	43	5	0.104166664	high	9180
p02	donut	3	5	2	0.6666667	high	3265
p02	donut	37	33	4	0.10810811	high	2195
p02	donut	46	45	1	0.02173913	medium	3363
